FileID,CrashSeverity,County,CrashDate,PrimaryStreet,Distance,Direction,Weather,NumberOfFatalities,NumberOfInjured,CrashType,FirstVehicleType,FirstVehicleDirection,FirstDriverAge,FirstVehicleLane,FirstVehicleAction,FirstDriverCondition,SecondVehicleType,SecondVehicleDirection,SecondDriverAge,SecondVehicleLane,SecondVehicleAction,SecondDriverCondition,RoadCondition,Lighting,AgencyName,PedestrianInvolved
105,INJURY CRASH,CLARK,1/2/16,MARYLAND PKWY,20,N,CLOUDY,0,1,"SIDESWIPE, MEETING",Unspecified,N,Unspecified,2,NOT REPORTED,Unspecified,OTHER,S,47,2,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,LVMPD,NO
116,PROPERTY DAMAGE ONLY,CLARK,1/2/16,IR15N,1700,N,CLOUDY,0,0,REAR-END,CARRY-ALL,N,27,4,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",N,29,4,GOING STRAIGHT,APPARENTLY NORMAL,WET,DAYLIGHT,NHP,NO
118,PROPERTY DAMAGE ONLY,CLARK,1/2/16,IR15N,500,N,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",N,19,4,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",N,39,4,STOPPED,APPARENTLY NORMAL,WET,DAYLIGHT,NHP,NO
129,PROPERTY DAMAGE ONLY,CLARK,1/2/16,E WILSON AVE,70,E,CLEAR,0,0,ANGLE,SEDAN,E,53,0,TRAVELING WRONG WAY,HAD BEEN DRINKING,PICKUP,Unspecified,Unspecified,0,PARKED,Unspecified,DRY,DARK - NO LIGHTING,LVMPD,NO
145,PROPERTY DAMAGE ONLY,CLARK,1/2/16,US95S,100,N,CLEAR,0,0,"SIDESWIPE, OVERTAKING","SEDAN, 4 DOOR",S,24,3,CHANGING LANES,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,40,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
146,PROPERTY DAMAGE ONLY,CLARK,1/2/16,IR15N,900,S,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",N,54,3,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",N,26,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
148,INJURY CRASH,CLARK,1/2/16,IR15N,100,N,CLEAR,0,1,REAR-END,"SEDAN, 4 DOOR",N,27,4,GOING STRAIGHT,Unspecified,"SEDAN, 4 DOOR",N,23,4,STOPPED,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
104,PROPERTY DAMAGE ONLY,CLARK,1/2/16,SR595,60,N,CLEAR,0,0,REAR-END,VAN,S,27,2,GOING STRAIGHT,DRUG INVOLVEMENT,STATION WAGON,S,29,2,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,LVMPD,NO
115,INJURY CRASH,CLARK,1/2/16,SR589,0,AT INT,CLOUDY,0,1,ANGLE,"HATCHBACK, 2 DOOR",W,23,0,GOING STRAIGHT,APPARENTLY NORMAL,CARRY-ALL,E,31,0,TURNING LEFT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
117,PROPERTY DAMAGE ONLY,CLARK,1/2/16,IR15S,100,N,CLEAR,0,0,REAR-END,"SEDAN, 4 DOOR",N,33,1,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,28,1,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
139,INJURY CRASH,CLARK,1/2/16,CHEYENNE AVE,0,AT INT,CLEAR,0,1,ANGLE,Unspecified,Unspecified,Unspecified,0,NOT REPORTED,Unspecified,"SEDAN, 4 DOOR",E,24,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
140,INJURY CRASH,CLARK,1/2/16,SR596,0,AT INT,CLOUDY,0,1,ANGLE,Unspecified,E,Unspecified,0,GOING STRAIGHT,Unspecified,"SEDAN, 4 DOOR",N,Unspecified,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
144,PROPERTY DAMAGE ONLY,CLARK,1/2/16,SR159,0,AT INT,CLEAR,0,0,ANGLE,"SEDAN, 4 DOOR",E,26,0,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",W,34,0,TURNING LEFT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
151,PROPERTY DAMAGE ONLY,CLARK,1/2/16,US95N,100,N,CLEAR,0,0,"SIDESWIPE, OVERTAKING","SEDAN, 4 DOOR",N,Unspecified,2,CHANGING LANES,Unspecified,CARRY-ALL,N,40,2,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
158,PROPERTY DAMAGE ONLY,CLARK,1/2/16,MARTIN L KING BLVD,0,AT INT,CLOUDY,0,0,REAR-END,"SEDAN, 4 DOOR",S,20,0,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,20,0,TURNING RIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
166,PROPERTY DAMAGE ONLY,CLARK,1/2/16,IR15S,500,S,CLEAR,0,0,"SIDESWIPE, OVERTAKING",PICKUP,S,45,3,UNKNOWN,APPARENTLY NORMAL,"SEDAN, 4 DOOR",S,21,3,UNKNOWN,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
167,PROPERTY DAMAGE ONLY,CLARK,1/2/16,E WASHINGTON AVE,30,E,CLEAR,0,0,NON-COLLISION,CARRY-ALL,W,Unspecified,0,GOING STRAIGHT,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
120,INJURY CRASH,CLARK,1/2/16,US95S,100,S,CLOUDY,0,1,ANGLE,"HATCHBACK, 2 DOOR",S,25,3,GOING STRAIGHT,APPARENTLY NORMAL,"HARDTOP, 4 DOOR",S,54,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
155,PROPERTY DAMAGE ONLY,CLARK,1/2/16,SR599N TO ANN RD INT90B,15,S,RAIN,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,28,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
200,PROPERTY DAMAGE ONLY,CLARK,1/3/16,SILVERSTONE RANCH DR,6,N,CLEAR,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,Unspecified,0,UNKNOWN,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
170,FATAL CRASH,CLARK,1/3/16,S DURANGO DR,147,S,CLEAR,1,0,NON-COLLISION,CARRY-ALL,S,35,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,YES
207,PROPERTY DAMAGE ONLY,CLARK,1/3/16,W SUMMERLIN PKWY,1155,W,CLEAR,0,0,NON-COLLISION,CARRY-ALL,W,59,2,GOING STRAIGHT,APPARENTLY NORMAL,"SEDAN, 2 DOOR",W,35,2,PARKED,HAD BEEN DRINKING,DRY,DARK - NO LIGHTING,NHP,NO
181,INJURY CRASH,CLARK,1/3/16,STEWART AVE,17,W,CLEAR,0,6,REAR-END,CARRY-ALL,E,71,1,GOING STRAIGHT,INATTENTION/DISTRACTED,PICKUP,E,31,1,STOPPED,APPARENTLY NORMAL,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
187,INJURY CRASH,CLARK,1/3/16,IR15N,250,N,CLOUDY,0,1,REAR-END,"SEDAN, 4 DOOR",N,22,4,GOING STRAIGHT,APPARENTLY NORMAL,PICKUP,N,39,4,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
201,INJURY CRASH,CLARK,1/3/16,N BRUCE ST,404,S,CLEAR,0,1,ANGLE,"SEDAN, 4 DOOR",S,24,2,GOING STRAIGHT,HAD BEEN DRINKING,"HATCHBACK, 2 DOOR",Unspecified,Unspecified,2,PARKED,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
210,INJURY CRASH,CLARK,1/3/16,US95N,1000,N,CLEAR,0,1,NON-COLLISION,"HATCHBACK, 2 DOOR",N,25,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,WET,DARK - SPOT LIGHTING,NHP,NO
212,PROPERTY DAMAGE ONLY,CLARK,1/3/16,US95N,217,N,CLEAR,0,0,"SIDESWIPE, OVERTAKING","SEDAN, 4 DOOR",N,Unspecified,3,PASSING OTHER VEHICLE,OTHER IMPROPER DRIVING,"SEDAN, 4 DOOR",N,43,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
213,PROPERTY DAMAGE ONLY,CLARK,1/3/16,US95N,1000,W,CLEAR,0,0,NON-COLLISION,CONVERTIBLE,Unspecified,Unspecified,0,NOT REPORTED,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
228,INJURY CRASH,CLARK,1/3/16,SR159,73,E,CLEAR,0,1,NON-COLLISION,"SEDAN, 4 DOOR",E,36,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
179,INJURY CRASH,CLARK,1/3/16,IR15N TO SR589W/E INT40,0,AT INT,CLEAR,0,1,NON-COLLISION,"SEDAN, 4 DOOR",N,31,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DUSK,LVMPD,NO
188,INJURY CRASH,CLARK,1/3/16,SR589,0,AT INT,CLEAR,0,1,ANGLE,VAN,N,43,0,TURNING LEFT,APPARENTLY NORMAL,PICKUP,W,41,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
196,INJURY CRASH,CLARK,1/3/16,SR159,10,E,CLEAR,0,1,NON-COLLISION,"SEDAN, 4 DOOR",E,25,0,GOING STRAIGHT,HAD BEEN DRINKING,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,NO
206,INJURY CRASH,CLARK,1/3/16,SR159,0,AT INT,CLEAR,0,1,ANGLE,"SEDAN, 4 DOOR",W,19,0,GOING STRAIGHT,APPARENTLY NORMAL,CARRY-ALL,N,54,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - NO LIGHTING,NHP,NO
208,PROPERTY DAMAGE ONLY,CLARK,1/3/16,SR589,250,E,CLEAR,0,0,REAR-END,"HATCHBACK, 2 DOOR",W,61,1,GOING STRAIGHT,APPARENTLY NORMAL,VAN,W,61,1,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
209,INJURY CRASH,CLARK,1/3/16,IR15N TO SR589W/E INT40,12,S,CLEAR,0,1,REAR-END,PICKUP,N,31,0,GOING STRAIGHT,Unspecified,CARRY-ALL,N,43,0,STOPPED,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
217,INJURY CRASH,CLARK,1/3/16,SR596,0,AT INT,CLOUDY,0,2,ANGLE,"HATCHBACK, 4 DOOR",S,63,0,GOING STRAIGHT,APPARENTLY NORMAL,CARRY-ALL,W,44,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
178,INJURY CRASH,CLARK,1/3/16,SMOKE RANCH RD,200,E,CLEAR,0,1,NON-COLLISION,Unspecified,Unspecified,Unspecified,3,GOING STRAIGHT,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - CONTINUOUS LIGHTING,LVMPD,YES
216,PROPERTY DAMAGE ONLY,CLARK,1/3/16,US95N,50,E,CLEAR,0,0,"SIDESWIPE, OVERTAKING","HATCHBACK, 2 DOOR",N,18,3,CHANGING LANES,HAD BEEN DRINKING,"SEDAN, 4 DOOR",N,46,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
484,INJURY CRASH,CLARK,1/5/16,US95S,200,N,CLOUDY,0,1,REAR-END,VAN,Unspecified,Unspecified,3,GOING STRAIGHT,Unspecified,"HARDTOP, 4 DOOR",S,31,3,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
222,PROPERTY DAMAGE ONLY,CLARK,1/3/16,US95N,500,E,UNKNOWN,0,0,NON-COLLISION,"SEDAN, 4 DOOR",N,24,2,GOING STRAIGHT,Unspecified,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DARK - SPOT LIGHTING,NHP,NO
223,PROPERTY DAMAGE ONLY,CLARK,1/3/16,US95N,600,S,CLEAR,0,0,ANGLE,"SEDAN, 4 DOOR",N,21,2,NOT REPORTED,HAD BEEN DRINKING,"SEDAN, 4 DOOR",N,46,2,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DARK - SPOT LIGHTING,NHP,NO
186,INJURY CRASH,CLARK,1/3/16,LAKE MEAD BLVD,20,E,CLOUDY,0,1,ANGLE,"SEDAN, 4 DOOR",N,25,0,GOING STRAIGHT,HAD BEEN DRINKING,UTILITY,W,77,0,GOING STRAIGHT,APPARENTLY NORMAL,DRY,DAYLIGHT,NHP,NO
243,INJURY CRASH,CLARK,1/4/16,AZURE DR,598,E,CLOUDY: RAIN,0,1,NON-COLLISION,CARRY-ALL,W,46,0,GOING STRAIGHT,APPARENTLY NORMAL,Unspecified,Unspecified,Unspecified,0,Unspecified,Unspecified,DRY,DAYLIGHT,LVMPD,NO
